"Country","Region","Happiness Rank","Happiness_Score","Economy","Family","Health (Life Expectancy)","Freedom","Trust (Government Corruption)","Generosity","Dystopia Residual","Happiness"
"Congo (Brazzaville)","Sub-Saharan Africa","139","3.989","0.67866","0.6629","0.31051","0.41466","0.11686","0.12388","1.68135","0"
"Congo (Brazzaville)","Sub-Saharan Africa","127","4.236","0.77109","0.47799","0.28212","0.37938","0.09753","0.12077","2.10681","0"
"Congo (Brazzaville)","","124","4.2909998893738","0.80896425247192","0.83204436302185","0.28995743393898","0.43502587080002","0.12085212767124","0.079618133604527","1.7241356372833","0"
"Congo (Brazzaville)","","114","4.559","0.682","0.811","0.343","0.514","0.077","0.091","","0"
"Congo (Brazzaville)","","103","4.812","0.673","0.799","0.508","0.372","0.093","0.105","","0"
"Congo (Kinshasa)","","132","4.245","0.069","1.136","0.204","0.312","0.052","0.197","","0"
"Congo (Kinshasa)","Sub-Saharan Africa","125","4.272","0.05661","0.80676","0.188","0.15602","0.06075","0.25458","2.74924","0"
"Congo (Kinshasa)","","126","4.2800002098083","0.092102348804474","1.2290234565735","0.19140702486038","0.23596134781837","0.24645583331585","0.060241356492042","2.2249586582184","0"
"Congo (Kinshasa)","","127","4.418","0.094","1.125","0.357","0.269","0.053","0.212","","0"
"Congo (Kinshasa)","Sub-Saharan Africa","120","4.517","","1.0012","0.09806","0.22605","0.07625","0.24834","2.86712","0"
"Costa Rica","","13","7.072","1.01","1.459","0.817","0.632","0.101","0.143","","1"
"Costa Rica","","12","7.0789999961853","1.1097062826157","1.4164036512375","0.75950926542282","0.58013164997101","0.21461322903633","0.10010658949614","2.8986392021179","1"
"Costa Rica","Latin America and Caribbean","14","7.087","1.06879","1.02152","0.76146","0.55225","0.10547","0.22553","3.35168","1"
"Costa Rica","","12","7.167","1.034","1.441","0.963","0.558","0.093","0.144","","1"
"Costa Rica","Latin America and Caribbean","12","7.226","0.95578","1.23788","0.86027","0.63376","0.10583","0.25497","3.17728","1"
"Croatia","","77","5.2930002212524","1.2225562334061","0.96798300743103","0.70128852128982","0.25577229261398","0.24800297617912","0.043103110045195","1.8544924259186","0"
"Croatia","","82","5.321","1.115","1.161","0.737","0.38","0.039","0.12","","1"
"Croatia","","75","5.432","1.155","1.266","0.914","0.296","0.022","0.119","","0"
"Croatia","Central and Eastern Europe","74","5.488","1.18649","0.60809","0.70524","0.23907","0.04002","0.18434","2.52462","0"
"Croatia","Central and Eastern Europe","62","5.759","1.08254","0.79624","0.78805","0.25883","0.0243","0.05444","2.75414","0"
"Cyprus","Western Europe","69","5.546","1.31857","0.70697","0.8488","0.29507","0.05228","0.27906","2.04497","0"
"Cyprus","","65","5.6209998130798","1.355938076973","1.1313632726669","0.84471470117569","0.35511153936386","0.27125430107117","0.041237976402044","1.6212491989136","1"
"Cyprus","Western Europe","67","5.689","1.20813","0.89318","0.92356","0.40672","0.06146","0.30638","1.88931","0"
"Cyprus","","61","5.762","1.229","1.191","0.909","0.423","0.035","0.202","","1"
"Cyprus","","49","6.046","1.263","1.223","1.042","0.406","0.041","0.19","","1"
"Czech Republic","Central and Eastern Europe","31","6.505","1.17898","1.20643","0.84483","0.46364","0.02652","0.10686","2.67782","1"
"Czech Republic","Central and Eastern Europe","27","6.596","1.30915","1.00793","0.76376","0.41418","0.03986","0.09929","2.96211","1"
"Czech Republic","","23","6.6090002059936","1.352682352066","1.433885216713","0.75444400310516","0.49094617366791","0.088106758892536","0.036872927099466","2.4518618583679","1"
"Czech Republic","","21","6.711","1.233","1.489","0.854","0.543","0.034","0.064","","1"
"Czech Republic","","20","6.852","1.269","1.487","0.92","0.457","0.036","0.046","","1"
"Denmark","","2","7.521999835968","1.4823830127716","1.5511215925217","0.79256552457809","0.62600672245026","0.35528048872948","0.40077006816864","2.3137073516846","1"
"Denmark","Western Europe","1","7.526","1.44178","1.16374","0.79504","0.57941","0.44453","0.36171","2.73939","1"
"Denmark","Western Europe","3","7.527","1.32548","1.36058","0.87464","0.64938","0.48357","0.34139","2.49204","1"
"Denmark","","3","7.555","1.351","1.59","0.868","0.683","0.408","0.284","","1"
"Denmark","","2","7.6","1.383","1.573","0.996","0.592","0.41","0.252","","1"
"Djibouti","Sub-Saharan Africa","126","4.369","0.44025","0.59207","0.36291","0.46074","0.28105","0.18093","2.05125","0"
"Dominican Republic","Latin America and Caribbean","98","4.885","0.89537","1.17202","0.66825","0.57672","0.14234","0.21684","1.21305","0"
"Dominican Republic","Latin America and Caribbean","89","5.155","1.02787","0.99496","0.57669","0.52259","0.12372","0.21286","1.69626","0"
"Dominican Republic","","86","5.2300000190735","1.0793738365173","1.4024167060852","0.57487374544144","0.55258983373642","0.18696784973145","0.11394525319338","1.3194651603699","0"
"Dominican Republic","","83","5.302","0.982","1.441","0.614","0.578","0.106","0.12","","1"
"Dominican Republic","","77","5.425","1.015","1.401","0.779","0.497","0.101","0.113","","0"
"Ecuador","","48","5.973","0.889","1.33","0.736","0.556","0.12","0.114","","1"
"Ecuador","Latin America and Caribbean","48","5.975","0.86402","0.99903","0.79075","0.48574","0.1809","0.11541","2.53942","0"
"Ecuador","Latin America and Caribbean","51","5.976","0.97306","0.85974","0.68613","0.4027","0.18037","0.10074","2.77366","0"
"Ecuador","","44","6.0079998970032","1.0008203983307","1.2861688137054","0.68563622236252","0.4551981985569","0.15011246502399","0.14013464748859","2.2903525829315","1"
"Ecuador","","50","6.028","0.912","1.312","0.868","0.498","0.087","0.126","","1"
"Egypt","","137","4.166","0.913","1.039","0.644","0.241","0.067","0.076","","0"
"Egypt","Middle East and Northern Africa","135","4.194","0.8818","0.747","0.61712","0.17288","0.06324","0.11291","1.59927","0"
"Egypt","Middle East and Northern Africa","120","4.362","0.95395","0.49813","0.52116","0.18847","0.10393","0.12706","1.96895","0"
"Egypt","","122","4.419","0.885","1.025","0.553","0.312","0.107","0.092","","0"
"Egypt","","104","4.7350001335144","0.98970180749893","0.99747139215469","0.5201872587204","0.28211015462875","0.12863144278526","0.11438136547804","1.7021610736847","0"
"El Salvador","","45","6.0029997825623","0.90978449583054","1.1821250915527","0.59601855278015","0.43245252966881","0.078257985413074","0.089980959892273","2.7145938873291","1"
